TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
98,1,00:00,,,,,,,,,,
98,1,00:10,5.73,-10.4,31.48,32.91,33.12,0.08,0.08,0.08,-0.03,282.39
98,1,00:20,5.65,-9.3,31.42,32.8,33.12,0.03,0.03,0.03,-0.03,270.75
98,1,00:30,5.88,-10.41,31.31,32.63,33.12,0.06,0.06,0.06,-0.02,297.36
98,1,00:40,5.4,-6.77,31.24,32.52,26.79,0.02,0.02,0.02,-0.04,253.38
98,1,00:50,4.86,-3.85,31.1,32.29,20.81,0.02,0.02,0.02,-0.02,211.02
98,1,01:00,4.99,-2.4,31.01,32.09,20.81,0.02,0.02,0.02,-0.06,231.08
98,1,01:10,4.67,-5.0,30.88,31.96,20.81,0.02,0.02,0.02,-0.04,191.19
98,1,01:20,4.21,-6.06,30.67,31.68,20.81,0.02,0.02,0.02,-0.01,162.25
98,1,01:30,4.46,-7.0,30.55,31.58,20.81,0.02,0.02,0.02,-0.07,168.76
98,1,01:40,4.62,-8.78,30.47,31.43,20.81,0.02,0.02,0.02,-0.02,171.71
98,1,01:50,4.35,-6.79,30.32,31.29,15.37,0.02,0.02,0.02,-0.02,167.81
98,1,02:00,5.1,-3.75,30.23,31.26,8.51,0.02,0.02,0.02,-0.07,240.31
98,1,02:10,4.94,-4.31,30.2,31.29,8.51,0.02,0.02,0.02,-0.01,243.72
98,1,02:20,4.57,0.1,30.2,31.21,8.51,0.02,0.02,0.02,-0.04,217.21
98,1,02:30,4.71,0.41,30.14,31.02,8.51,0.04,0.04,0.04,-0.03,204.63
98,1,02:40,5.96,-7.99,30.03,31.21,4.2,0.11,0.11,0.1,-0.03,323.1
98,1,02:50,5.41,-5.4,29.93,31.22,-3.73,0.05,0.05,0.05,-0.03,286.23
98,1,03:00,5.47,-5.71,29.9,31.2,-3.73,0.08,0.08,0.08,-0.01,301.29
98,1,03:10,5.73,-3.3,30.0,31.29,-3.73,0.26,0.26,0.26,-0.05,366.83
98,1,03:20,5.41,-2.91,30.04,31.34,-3.73,0.12,0.12,0.12,-0.04,318.07
98,1,03:30,5.1,-2.96,29.98,31.29,-3.73,0.03,0.03,0.03,-0.01,281.13
98,1,03:40,5.46,-5.62,29.93,31.29,-3.73,0.05,0.05,0.04,-0.03,288.93
98,1,03:50,5.87,-9.05,29.8,31.29,-3.73,1.31,1.31,1.31,-0.04,333.24
98,1,04:00,6.76,-5.76,29.83,31.34,-10.74,7.04,7.04,7.04,-0.05,471.59
98,1,04:10,6.61,1.06,30.03,31.57,-16.07,8.57,8.57,8.57,-0.03,493.28
98,1,04:20,7.75,6.83,30.26,31.6,-11.88,11.55,11.55,11.55,0.0,452.04
98,1,04:30,7.83,-3.26,30.17,31.81,-3.76,11.64,11.64,11.64,-0.03,444.99
98,1,04:40,7.81,-3.95,30.09,31.99,-3.76,11.64,11.64,11.64,-0.03,440.24
98,1,04:50,7.83,-1.63,30.33,32.02,-3.76,11.95,11.95,11.95,-0.02,443.85
98,1,05:00,7.5,-3.82,30.32,32.09,-3.76,10.44,10.44,10.44,-0.06,443.16
98,1,05:10,7.06,-4.05,30.26,32.17,-3.76,9.41,9.41,9.41,-0.01,456.4
98,1,05:20,6.4,-4.46,30.2,32.27,-3.76,7.76,7.76,7.76,-0.02,461.19
98,1,05:30,6.1,-6.07,30.1,32.27,-3.76,5.21,5.21,5.21,-0.05,438.83
98,1,05:40,6.8,-8.05,30.0,32.11,-8.82,5.56,5.56,5.56,-0.06,468.51
98,1,05:50,6.2,-2.58,30.02,32.15,-16.03,6.55,6.55,6.55,-0.02,474.0
98,1,06:00,6.42,-2.19,30.05,32.29,-16.03,7.06,7.06,7.06,-0.02,483.81
98,1,06:10,7.82,-8.22,29.93,32.18,-16.03,9.38,9.38,9.38,-0.02,456.34
98,1,06:20,8.27,-7.72,29.87,31.93,-21.1,11.47,11.47,11.47,-0.03,435.02
98,1,06:30,9.43,5.27,30.05,31.62,-27.89,15.31,15.31,15.31,-0.04,444.22
98,1,06:40,10.64,-0.74,29.95,31.49,-16.07,16.52,16.52,16.52,-0.08,434.1
98,1,06:50,11.24,-3.32,29.54,31.31,-16.07,16.73,16.73,16.73,-0.03,450.14
98,1,07:00,11.3,-6.25,29.68,31.13,-16.07,16.81,16.81,16.81,-0.05,437.06
98,1,07:10,11.42,-4.76,29.51,30.8,-16.07,18.89,18.89,18.89,-0.05,372.56
98,1,07:20,11.18,-2.72,29.44,30.89,-16.07,16.14,16.14,16.14,-0.06,520.78
98,1,07:30,11.63,-2.88,29.42,30.92,-16.07,17.01,17.01,17.01,-0.07,515.92
98,1,07:40,11.85,-3.0,29.56,30.99,-16.07,16.93,16.93,16.93,-0.06,538.97
98,1,07:50,11.95,-1.03,29.61,30.99,-16.07,15.7,15.7,15.7,-0.08,625.65
