TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
64,1,00:00,,,,,,,,,,
64,1,00:10,4.76,3.43,31.29,43.36,-0.58,0.63,0.63,0.63,-0.11,337.04
64,1,00:20,4.58,2.1,31.29,43.29,-0.58,0.04,0.04,0.04,-0.13,312.66
64,1,00:30,4.56,2.04,31.23,43.18,-0.58,0.16,0.15,0.15,-0.11,310.56
64,1,00:40,4.42,0.02,31.12,43.06,-0.58,0.02,0.02,0.02,-0.14,282.52
64,1,00:50,4.38,0.75,31.09,42.99,-0.58,0.02,0.02,0.02,-0.11,278.9
64,1,01:00,4.46,-0.57,30.99,42.88,-0.58,0.02,0.02,0.02,-0.11,283.06
64,1,01:10,4.42,-0.67,30.87,42.7,-0.58,0.02,0.02,0.02,-0.15,281.05
64,1,01:20,4.28,0.99,30.78,42.62,-0.58,0.02,0.02,0.02,-0.11,247.13
64,1,01:30,4.02,-0.6,30.67,42.43,-0.58,0.02,0.02,0.02,-0.11,219.68
64,1,01:40,4.1,-7.85,30.51,42.35,-0.58,0.02,0.02,0.02,-0.11,221.49
64,1,01:50,4.15,-7.81,30.4,42.26,-3.44,0.02,0.02,0.02,-0.12,234.65
64,1,02:00,4.1,0.08,30.33,42.04,-13.08,0.02,0.02,0.02,-0.12,235.71
64,1,02:10,4.33,-1.91,30.19,41.9,-13.08,0.02,0.02,0.02,-0.13,267.5
64,1,02:20,4.32,7.34,30.09,41.79,-13.08,0.02,0.02,0.02,-0.15,283.14
64,1,02:30,4.76,-0.96,29.96,41.73,-13.08,0.5,0.5,0.5,-0.12,348.42
64,1,02:40,4.42,-1.29,29.84,41.7,-23.3,0.51,0.51,0.51,-0.11,287.25
64,1,02:50,4.37,1.4,29.7,41.64,-25.59,0.05,0.05,0.05,-0.1,303.37
64,1,03:00,4.42,6.72,29.71,41.57,-24.17,0.1,0.1,0.1,-0.12,287.31
64,1,03:10,4.51,-6.04,29.71,41.49,-14.62,0.25,0.25,0.25,-0.1,298.17
64,1,03:20,4.2,1.38,29.7,41.51,-25.59,0.22,0.22,0.22,-0.11,272.73
64,1,03:30,4.17,1.48,29.63,41.44,-25.59,0.03,0.03,0.02,-0.14,255.0
64,1,03:40,4.36,-0.98,29.59,41.34,-25.59,0.04,0.04,0.04,-0.11,285.9
64,1,03:50,5.06,-5.68,29.58,41.28,-25.59,0.91,0.91,0.91,-0.15,371.58
64,1,04:00,5.54,-8.24,29.49,41.2,-25.59,2.39,2.39,2.39,-0.15,439.04
64,1,04:10,6.07,-3.47,29.65,41.23,-25.59,5.6,5.6,5.6,-0.16,420.27
64,1,04:20,6.37,5.6,29.72,41.21,-25.59,7.09,7.09,7.09,-0.11,375.28
64,1,04:30,5.8,4.64,29.77,41.17,-25.59,6.61,6.61,6.61,-0.13,383.64
64,1,04:40,6.69,7.78,29.85,41.11,-25.59,6.61,6.61,6.61,-0.14,422.28
64,1,04:50,5.97,3.79,29.9,41.12,-25.59,5.83,5.83,5.83,-0.14,407.93
64,1,05:00,5.58,2.44,29.9,41.22,-25.59,5.83,5.83,5.83,-0.11,374.47
64,1,05:10,5.78,-0.03,29.95,41.29,-25.59,5.61,5.61,5.61,-0.15,396.25
