TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
60,1,00:00,,,,,,,,,,
60,1,00:10,6.54,7.44,32.09,37.91,206.52,1.18,1.18,1.18,-0.23,467.28
60,1,00:20,6.28,6.77,32.09,37.71,206.52,1.19,1.19,1.19,-0.25,433.64
60,1,00:30,6.43,6.92,32.05,37.65,206.52,0.64,0.64,0.64,-0.24,473.85
60,1,00:40,5.98,2.98,31.99,37.59,206.52,0.03,0.03,0.03,-0.23,407.54
60,1,00:50,5.9,3.92,31.92,37.59,206.52,0.03,0.03,0.03,-0.23,407.45
60,1,01:00,6.01,2.49,31.85,37.45,206.52,0.02,0.02,0.02,-0.24,416.35
60,1,01:10,5.79,1.32,31.7,37.35,206.52,0.02,0.02,0.02,-0.24,394.4
60,1,01:20,5.7,0.67,31.59,37.28,206.52,0.02,0.02,0.02,-0.24,369.65
60,1,01:30,5.46,-0.32,31.46,37.11,206.52,0.02,0.02,0.02,-0.2,334.98
60,1,01:40,5.39,-5.49,31.32,37.0,206.52,0.02,0.02,0.02,-0.25,339.68
60,1,01:50,5.41,-9.6,31.19,36.92,206.52,0.02,0.02,0.02,-0.22,354.67
60,1,02:00,5.47,-5.2,31.09,36.9,198.54,0.02,0.02,0.02,-0.25,352.49
60,1,02:10,5.67,-0.55,31.06,36.8,194.01,0.03,0.03,0.03,-0.24,368.62
60,1,02:20,6.02,7.48,30.99,36.61,196.04,0.03,0.03,0.03,-0.25,407.56
60,1,02:30,6.08,-6.38,30.93,36.6,201.44,0.63,0.63,0.63,-0.22,467.5
60,1,02:40,5.5,-6.7,30.77,36.59,188.17,0.79,0.79,0.79,-0.22,366.84
60,1,02:50,5.34,-1.43,30.7,36.52,181.52,0.45,0.45,0.45,-0.27,335.86
60,1,03:00,5.99,3.04,30.72,36.46,181.52,0.88,0.88,0.88,-0.24,384.08
60,1,03:10,5.95,5.41,30.79,36.29,181.52,1.1,1.1,1.1,-0.25,376.9
60,1,03:20,5.32,-0.07,30.77,36.27,181.52,0.5,0.49,0.49,-0.23,335.55
