TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
107,1,00:00,,,,,,,,,,
107,1,00:10,5.63,-4.46,27.7,34.99,-22.71,0.34,0.34,0.34,-0.14,337.59
107,1,00:20,5.12,-6.2,27.64,34.89,-22.71,0.03,0.03,0.04,-0.12,271.02
107,1,00:30,5.27,-6.57,27.52,34.67,-22.71,0.06,0.06,0.06,-0.11,279.28
107,1,00:40,4.77,-6.8,27.41,34.5,-26.47,0.03,0.03,0.02,-0.14,229.61
107,1,00:50,4.68,7.88,27.36,34.24,-35.25,0.02,0.02,0.02,-0.11,244.12
107,1,01:00,4.57,6.42,27.23,34.16,-35.25,0.02,0.02,0.02,-0.13,243.36
107,1,01:10,4.42,6.91,27.13,33.98,-35.25,0.02,0.02,0.02,-0.14,218.06
107,1,01:20,4.48,8.52,27.03,33.83,-35.25,0.02,0.02,0.02,-0.12,211.05
107,1,01:30,4.36,7.44,26.94,33.7,-35.25,0.02,0.02,0.02,-0.12,204.03
107,1,01:40,4.0,2.39,26.81,33.51,-35.25,0.02,0.02,0.02,-0.09,183.89
107,1,01:50,3.79,-1.82,26.68,33.43,-35.25,0.03,0.02,0.03,-0.14,167.1
107,1,02:00,4.61,-9.06,26.6,33.36,-35.25,0.02,0.02,0.02,-0.14,208.9
107,1,02:10,4.92,0.22,26.55,33.35,-44.33,0.02,0.02,0.02,-0.11,258.68
107,1,02:20,4.43,5.07,26.42,33.39,-40.77,0.02,0.02,0.02,-0.13,244.82
107,1,02:30,4.8,-6.68,26.37,33.27,-36.58,0.05,0.05,0.05,-0.11,239.35
107,1,02:40,4.69,-6.25,26.22,33.2,-52.24,0.25,0.24,0.24,-0.11,232.25
107,1,02:50,4.56,0.51,26.1,33.19,-60.3,0.06,0.06,0.06,-0.13,257.45
107,1,03:00,4.67,5.61,26.1,33.15,-60.3,0.22,0.22,0.22,-0.11,251.07
107,1,03:10,5.4,-3.2,26.15,33.15,-49.27,0.46,0.46,0.46,-0.13,288.86
