TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
56,1,00:00,,,,,,,,,,
56,1,00:10,5.63,-3.29,30.79,35.29,149.74,0.98,0.98,0.98,-0.16,422.09
56,1,00:20,5.66,-3.64,30.7,35.29,149.74,0.08,0.08,0.08,-0.17,425.03
56,1,00:30,5.97,-3.72,30.7,35.29,149.74,0.88,0.88,0.88,-0.16,471.82
56,1,00:40,5.58,-6.21,30.68,35.19,149.74,0.14,0.14,0.14,-0.15,360.12
56,1,00:50,5.49,-6.38,30.59,35.09,149.74,0.03,0.03,0.03,-0.15,341.51
56,1,01:00,5.55,-6.59,30.43,34.97,149.74,0.03,0.03,0.03,-0.17,342.6
56,1,01:10,5.36,-7.58,30.23,34.76,149.74,0.02,0.02,0.02,-0.15,308.81
56,1,01:20,5.16,-9.35,30.12,34.59,149.74,0.02,0.02,0.02,-0.14,272.99
56,1,01:30,5.16,-9.47,30.0,34.42,149.74,0.02,0.02,0.02,-0.12,270.89
56,1,01:40,4.85,-5.84,29.84,34.31,142.63,0.02,0.02,0.02,-0.16,285.11
56,1,01:50,4.67,-4.33,29.79,34.23,137.21,0.02,0.02,0.02,-0.13,279.01
56,1,02:00,4.89,-7.38,29.7,34.11,137.21,0.02,0.02,0.02,-0.13,270.53
56,1,02:10,5.21,-9.12,29.59,34.05,137.21,0.03,0.03,0.03,-0.16,305.03
56,1,02:20,4.84,-3.8,29.59,33.93,137.21,0.03,0.03,0.03,-0.16,329.02
56,1,02:30,5.43,-4.68,29.59,34.02,137.21,0.64,0.64,0.64,-0.18,353.85
56,1,02:40,5.58,-6.53,29.55,33.84,127.49,1.33,1.33,1.33,-0.15,350.03
56,1,02:50,5.34,-8.13,29.47,33.79,124.67,0.91,0.91,0.91,-0.15,335.1
56,1,03:00,5.61,-7.58,29.41,33.73,124.67,1.03,1.03,1.03,-0.11,374.35
56,1,03:10,5.51,-5.63,29.5,33.79,124.67,1.08,1.08,1.08,-0.16,380.36
56,1,03:20,5.36,-5.8,29.5,33.8,124.67,0.99,0.99,0.99,-0.19,362.86
56,1,03:30,5.09,-6.13,29.48,33.79,124.67,0.07,0.07,0.07,-0.17,335.55
56,1,03:40,5.56,-8.88,29.31,33.74,124.67,0.82,0.82,0.82,-0.15,346.92
56,1,03:50,6.12,-9.75,29.29,33.57,122.89,1.67,1.67,1.67,-0.16,380.84
56,1,04:00,7.36,-4.38,29.23,33.5,112.16,5.37,5.37,5.37,-0.14,470.48
56,1,04:10,7.4,-3.44,29.24,33.49,112.16,6.93,6.93,6.93,-0.18,448.29
56,1,04:20,6.26,1.4,29.43,33.67,112.14,6.78,6.78,6.78,-0.16,445.68
56,1,04:30,6.91,3.38,29.56,33.79,112.12,8.07,8.07,8.07,-0.17,420.62
56,1,04:40,7.04,3.24,29.63,33.82,112.12,8.43,8.43,8.43,-0.14,406.53
56,1,04:50,6.35,5.77,29.79,33.9,112.12,7.41,7.41,7.41,-0.16,420.42
56,1,05:00,5.92,1.6,29.65,33.9,112.12,6.36,6.36,6.36,-0.18,434.25
56,1,05:10,5.66,1.82,29.68,34.03,112.12,5.56,5.56,5.56,-0.16,430.56
56,1,05:20,5.14,1.29,29.59,34.09,112.12,5.03,5.03,5.03,-0.16,386.15
56,1,05:30,5.36,-0.2,29.59,34.04,112.12,4.62,4.62,4.62,-0.18,389.04
56,1,05:40,7.17,-3.15,29.54,33.94,112.12,5.67,5.67,5.67,-0.22,445.64
56,1,05:50,7.22,-4.21,29.5,33.9,112.12,5.05,5.05,5.05,-0.18,455.01
56,1,06:00,7.5,-6.46,29.5,33.8,112.12,5.71,5.71,5.71,-0.18,439.98
56,1,06:10,8.19,-6.18,29.44,33.6,103.92,8.38,8.38,8.38,-0.17,440.23
56,1,06:20,9.16,-5.17,29.35,33.4,96.33,10.59,10.59,10.59,-0.16,409.44
56,1,06:30,9.59,1.72,29.26,33.2,87.08,12.6,12.6,12.6,-0.17,423.16
56,1,06:40,11.76,4.84,29.2,33.19,92.9,15.34,15.34,15.34,-0.21,440.42
