date,imf_1,imf_2,imf_3,imf_4,imf_5,imf_6,Patv
1990/1/1 0:00,805.6620004,-108.4404919,-95.80541839,11.0344552,-2.697262009,0.517003235,462.4850642
1990/1/1 0:10,805.8348025,-107.6144623,-96.26318192,-12.11277455,5.127335613,-1.570860207,494.66
1990/1/1 0:20,806.1326046,-106.0163079,-97.22274033,-10.26183058,-2.364865728,2.19200951,509.76
1990/1/1 0:30,806.5313028,-103.6784966,-98.69076438,12.94467443,-2.8550667,-2.299323628,542.53
1990/1/1 0:40,807.0225367,-100.6187994,-100.6414537,9.304694722,5.096979908,1.73333472,509.36
1990/1/1 0:50,807.6460968,-96.80736617,-102.9833286,-13.79793782,-2.160431446,-0.691339316,482.21
1990/1/1 1:00,808.3891966,-92.27195194,-105.672156,-8.5899256,-3.27959881,-0.826167749,584.75
1990/1/1 1:10,809.172338,-87.11139889,-108.7241325,14.3480596,5.36804264,2.314345283,557.98
1990/1/1 1:20,810.0438842,-81.29327395,-112.0024326,7.955461132,-1.59605395,-3.199166256,503.94
1990/1/1 1:30,811.0576157,-74.78075599,-115.352325,-14.97887186,-4.279519297,2.906732288,463.37
1990/1/1 1:40,812.2233857,-67.58660521,-118.6641003,-7.632020774,5.402768513,-1.667370851,577.47
1990/1/1 1:50,813.4667732,-59.81408791,-121.9164132,15.25283403,-0.594117403,-0.339700106,538.85
1990/1/1 2:00,814.8263182,-51.45259798,-124.9623907,7.274224819,-4.91511448,2.44918688,559.37
1990/1/1 2:10,816.2870737,-42.54912721,-127.7103444,-15.80527715,4.79276814,-4.136162515,585.51
1990/1/1 2:20,817.807375,-33.1811286,-130.0977019,-7.112943485,0.58327176,4.622357721,608.83
1990/1/1 2:30,819.3760793,-23.39642624,-132.0280297,16.32970957,-5.18428064,-3.586719848,675.43
1990/1/1 2:40,820.9427914,-13.28411961,-133.4451347,6.803558092,3.870498637,1.110856503,716.68
1990/1/1 2:50,822.4878137,-2.900835995,-134.2550678,-16.78746183,1.843019304,2.220862301,629.83
1990/1/1 3:00,824.0718189,7.780637864,-134.2741112,-6.286348053,-5.288321627,-5.251167602,651.13
1990/1/1 3:10,825.6983029,18.72841574,-133.3823076,17.15159674,2.471682782,6.695632377,677.56
1990/1/1 3:20,827.3962318,29.93567188,-131.4394352,5.69360526,3.136652263,-5.828673735,619.05
1990/1/1 3:30,829.223734,41.42365168,-128.2854764,-17.6217255,-5.057783653,2.567899971,576.73
1990/1/1 3:40,831.2107113,53.1799304,-123.8114308,-5.417887975,0.742323785,1.842302878,665.23
1990/1/1 3:50,833.308322,65.10502305,-118.0189606,17.63768137,4.226993826,-6.138169607,761.74
1990/1/1 4:00,835.4341217,77.05974518,-110.9706077,4.803548296,-4.119141112,8.552417929,898.34
1990/1/1 4:10,837.4748459,88.87156164,-102.778151,-17.76012517,-0.841771838,-7.970035757,867.22
1990/1/1 4:20,839.4095658,100.4634067,-93.46509701,-3.96616555,4.955238733,4.506704319,1048.81
1990/1/1 4:30,841.1208608,111.6607399,-83.16580122,17.96160746,-3.178448542,0.911490029,1137.1
1990/1/1 4:40,842.5280779,122.330812,-71.97681112,3.588675801,-2.032697892,-6.035231814,1207.96
1990/1/1 4:50,843.5621351,132.3603538,-59.97454237,-17.50431651,5.30389059,9.479078286,1239.41
1990/1/1 5:00,844.2167862,141.7106316,-47.15476089,-2.381089979,-2.051507941,-9.331557381,1179.6
1990/1/1 5:10,844.5636197,150.4333772,-33.41641425,17.90776159,-3.316349754,6.022087848,1183.42
1990/1/1 5:20,844.6821244,158.5975545,-18.64198633,1.857679871,5.054891545,-0.241173542,1036.78
1990/1/1 5:30,844.7446281,166.3742987,-2.615424433,-17.70035235,-0.725229851,-5.719905078,848.96
1990/1/1 5:40,844.9624448,173.9764568,14.90380785,-1.211135156,-4.704563215,9.620971415,748.75
1990/1/1 5:50,845.4955471,181.558008,34.06091678,16.98190623,4.177515267,-10.46069708,809.36
1990/1/1 6:00,846.3407992,189.0945888,54.77212917,-0.324189083,0.899333435,7.27014773,821.64
1990/1/1 6:10,847.5082307,196.5645008,76.91222117,-16.94363205,-5.088252887,-1.51465854,816.59
1990/1/1 6:20,848.974071,203.899478,100.2625686,0.948469077,2.805522844,-5.39290815,1118.95
1990/1/1 6:30,850.4685623,210.7671043,124.28785,15.81005262,2.333386595,10.46310174,1476.3
